,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,LongLeggedDojiFlag
0,1980-12-12 00:00:00-05:00,0.09987378865480424,0.10030799842043107,0.09987378865480424,0.09987378865480423,469033600,0.0,0.0,1.0
1,1980-12-15 00:00:00-05:00,0.09509752429827112,0.09509752429827112,0.0946633145213127,0.09466331452131271,175884800,0.0,0.0,1.0
2,1980-12-16 00:00:00-05:00,0.08814946482763798,0.08814946482763798,0.0877152606844902,0.0877152606844902,105728000,0.0,0.0,1.0
3,1980-12-17 00:00:00-05:00,0.08988626301288605,0.09032047280885773,0.08988626301288605,0.08988626301288605,86441600,0.0,0.0,1.0
4,1980-12-18 00:00:00-05:00,0.09249228984117508,0.09292649385245313,0.09249228984117508,0.09249228984117508,73449600,0.0,0.0,1.0
5,1980-12-19 00:00:00-05:00,0.09813699126243591,0.09857120116112966,0.09813699126243591,0.09813699126243591,48630400,0.0,0.0,1.0
6,1980-12-22 00:00:00-05:00,0.10291329771280289,0.10334828458557574,0.10291329771280289,0.10291329771280289,37363200,0.0,0.0,1.0
7,1980-12-23 00:00:00-05:00,0.10725612938404083,0.1076903393286399,0.10725612938404083,0.10725612938404083,46950400,0.0,0.0,1.0
8,1980-12-24 00:00:00-05:00,0.11290080100297928,0.11333501085960286,0.11290080100297928,0.11290080100297928,48003200,0.0,0.0,1.0
9,1980-12-26 00:00:00-05:00,0.12332258373498915,0.12375679372843135,0.12332258373498915,0.12332258373498917,55574400,0.0,0.0,1.0
10,1980-12-29 00:00:00-05:00,0.1250593662261963,0.1254935760603166,0.1250593662261963,0.1250593662261963,93161600,0.0,0.0,1.0
11,1980-12-30 00:00:00-05:00,0.12245412247519838,0.12245412247519838,0.12201992422342302,0.122019924223423,68880000,0.0,0.0,1.0
12,1980-12-31 00:00:00-05:00,0.1189804871633881,0.1189804871633881,0.11854627728462218,0.11854627728462219,35750400,0.0,0.0,1.0
13,1981-01-02 00:00:00-05:00,0.11984886229038239,0.12071728180854249,0.11984886229038239,0.11984886229038239,21660800,0.0,0.0,1.0
14,1981-01-05 00:00:00-05:00,0.11767784581561412,0.11767784581561412,0.1172436475753784,0.11724364757537842,35728000,0.0,0.0,1.0
